24,我可以为单个动态数据库表提供的最大写入吞吐量是多少？," 1,000个写入容量单位"," 100,000个写入容量单位"," 动态数据库旨在无限制地扩展，但如果超过10,000，则必须首先联系AWS。"," 10,000个写入容量单位",,,,,,,C,,https://aws.amazon.com/dynamodb/faqs/
25,以下命令对Amazon EC2安全组执行了哪些操作？ ec2-撤销RevokeSecurityGroupIngress, 从规则中删除一个或多个安全组。, 从Amazon EC2实例中删除一个或多个安全组。, 从安全组中删除一个或多个规则。, 从我们的帐户中删除安全组。,,,,,,,C,,"Removes one or more ingress rules from a security group. The values that you specify in the revoke request (for example, ports) must match the existing rule’s values for the rule to be removed. http://docs.aws.amazon.com/cli/latest/reference/ec2/revoke-security-group-ingress.html"
26,“用户”可以与多个AWS账户相关联吗？, 没有, 是,,,,,,,,,A,,
27,对错：删除数据库实例后，将删除手动创建的数据库快照。, 真正, 假,,,,,,,,,B,,"http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_DeleteInstance.html If you choose not to create a final DB snapshot, you will not be able to later restore the DB instance to its final state. When you delete a DB instance, all automated backups are deleted and cannot be recovered. Manual DB snapshots of the instance are not deleted."
28,如果实例重新启动（有意或无意），实例上的数据会发生什么？, 数据将丢失, 数据仍然存在, 数据可能仍然存在，但不能确定,,,,,,,,B,,"You can specify instance store volumes for an instance only when you launch it. The data in an instance store persists only during the lifetime of its associated instance. If an instance reboots (intentionally or unintentionally), data in the instance store persists. However, data in the instance store is lost under the following circumstances: The underlying disk drive fails The instance stops The instance terminates http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/InstanceStorage.html"
29,Amazon EC2支持多少种类型的块设备？,2,3,4,1,,,,,,,A,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/block-device-mapping-concepts.html Amazon EC2 supports two types of block devices: Instance store volumes (virtual devices whose underlying hardware is physically attached to the host computer for the instance) EBS volumes (remote storage devices) A block device mapping defines the block devices (instance store volumes and EBS volumes) to attach to an instance.
30,预配置IOPS成本：无论您是否在特定月份使用IOPS和存储，都需要支付费用。, 假, 真正,,,,,,,,,B,,"EBS Provisioned IOPS SSD (io1) Volumes Volume storage for EBS Provisioned IOPS SSD (io1) volumes is charged by the amount you provision in GB per month, until you release the storage. With Provisioned IOPS SSD (io1) volumes, you are also charged by the amount you provision in IOPS (input/output operations per second) multiplied by the percentage of days you provision for the month. For example, if you provision a volume with 1000 IOPS, and keep this volume for 15 days in a 30 day month, then in a Region that charges $0.10 per provisioned IOPS-month, you would be charged $50 for the IOPS that you provision ($0.10 per provisioned IOPS-month * 1000 IOPS provisioned * 15 days/30). You will be charged for the IOPS provisioned on a volume even when the volume is detached from an instance. https://aws.amazon.com/ebs/pricing/"
31,IAM提供了几个策略模板，您可以使用这些模板自动为您创建的组分配权限。 _____策略模板为管理员组授予访问除AWS账户信息之外的所有账户资源的权限, 只读访问权限, 高级用户访问, AWS Cloud Formation只读访问权限, 管理员权限,,,,,,,B,,"AWS managed policies are designed to provide permissions for many common use cases. For example, there are AWS managed policies that define typical permissions for administrators (all access), for power users (all access except IAM), and for other various levels of access to AWS services. AWS managed policies make it easier for you to assign appropriate permissions to users, groups, and roles than if you had to write the policies yourself. http://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html"
32,在执行卷状态检查时，如果状态不足 - 数据，这意味着什么？, 卷上的检查可能仍在进行中, 支票已经过去了, 检查失败了,,,,,,,,A,,"If the status is insufficient-data, the checks may still be in progress on the volume. You can view the results of volume status checks to identify any impaired volumes and take any necessary actions. http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/monitoring-volume-status.html#monitoring-volume- checks"
33,IAM的策略评估逻辑始终以每个请求的默认____________开头，但使用AWS账户的根安全凭证的除外, 允许, 拒绝, 取消,,,,,,,,B,,http://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html
34,默认情况下，当EBS卷附加到Windows实例时，它可能会显示为实例上的任何驱动器号。您可以更改_____服务的设置，以根据您的规格设置EBS卷的驱动器号。, EBSConfig服务, AMIConfig服务, Ec2Config服务, Ec2-AMIConfig服务,,,,,,,C,,Ec2Config Service is like sysprep and used specifically for windows instances.. You can change parameters in OS before launching.
35,对于每个数据库实例类，相关存储容量的最大大小是多少？, 5GB, 1TB, 6TB, 500GB,,,,,,,C,,"“You can now create MySQL, PostgreSQL, and Oracle RDS database instances with up to 6TB of storage and SQL Server RDS database instances with up to 4TB of storage when using the Provisioned IOPS and General Purpose (SSD) storage types. Existing MySQL, PostgreSQL, and Oracle RDS database instances can be scaled to these new database storage limits without any downtime.”"
36,SQL Server __________在master数据库中存储登录名和密码。, 可以配置为但默认情况下不配置, 不, 不,,,,,,,,C,,There are two authentications Windows authetication The credentials for which are not stored in SQl Server database and managed by windows/AD. There would be entry for windows autheticated logins in master database with respective SID but password would be with Active directory. SQL Server authetication. For 2nd we have password stored in hash format you can see it from sys.sql_logins. The information about SQl server logins are stored in master database and each login has SID repective to it. Only SA login has same SID no matter what server it is. That is why when you move database by backup restore mechanism users are moved not logins and you finally have to create logins(if already not there) and map it to users. This is generally called as troubleshooting orpahned users
37,什么是Oracle SQL Developer？, AWS开发人员，使用Oracle和SQL Server数据库引擎是Amazon RDS的专家, Oracle免费分发的图形化Java工具。, 它是Microsoft为支持Oracle DBMS功能而设计的SQL Server Management Studio的变体, Microsoft免费发布的不同DBMS,,,,,,,B,,http://www.oracle.com/technetwork/developer-tools/sql-developer/what-is-sqldev-093866.html
38,Amazon RDS是否允许通过Telnet，Secure Shell（SSH）或Windows远程桌面连接直接访问主机？, 是, 没有, 取决于它是否在VPC中,,,,,,,,B,,
39,要查看有关Amazon EBS卷的信息，请通过https：// console.aws.amazon.com/ec2/打开Amazon EC2控制台，单击导航窗格中的__________。, EBS, 描述, 细节, 卷,,,,,,,D,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-describing-volumes.html
40,使用Amazon IAM，我可以根据组织组授予权限吗？, 是的，但仅限于某些情况, 没有, 是的，总是,,,,,,,,C,,"An IAM group is a collection of IAM users. You can use groups to specify permissions for a collection of users, which can make those permissions easier to manage for those users. http://docs.aws.amazon.com/IAM/latest/UserGuide/id.html"
41,在使用API创建快照时，我应该使用哪个Action？, MakeSnapShot, FreshSnapshot, DeploySnapshot, CreateSnapshot,,,,,,,D,,http://docs.aws.amazon.com/AWSEC2/latest/CommandLineReference/ApiReference-cmd-CreateSnapshot.html
42,什么是在云中运行的隔离数据库环境（Amazon RDS）？, 数据库实例, DB服务器, 数据库单位, 数据库卷,,,,,,,A,,
43,登录REST /查询请求时，为了提高安全性，您应该使用安全套接字层（SSL）通过_________传输请求, HTTP, Internet协议安全性（IPsec）, TLS（传输层安全性）, HTTPS,,,,,,,D,,
44,在拍摄数据库快照时，I / O操作会发生什么？, 备份正在进行时，数据库的I / O操作将暂停几分钟。, 在备份过程中，数据库的I / O操作将发送到副本服务器（如果可用）几分钟。, I / O操作将正常运行, 备份正在进行时，数据库的I / O操作将暂停一小时,,,,,,,A,,Creating this DB snapshot on a Single-AZ DB instance results in a brief I/O suspension that typically lasting no more than a few minutes. Multi-AZ DB instances are not affected by this I/O suspension since the backup is taken on the standby.
45,只读副本需要事务存储引擎，并且仅支持_________存储引擎, OracleISAM, MSSQLDB, InnoDB的, MyISAM数据,,,,,,,C,,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html
46,将数据库实例作为多可用区部署运行时，是否可以使用备用数据库进行读写操作？, 是, 仅适用于基于MSSQL的RDS, 仅适用于Oracle RDS实例, 没有,,,,,,,D,,
47,我应该何时选择预配置IOPS而不是标准RDS存储？, 如果您有面向批处理的工作负载, 如果使用生产联机事务处理（OLTP）工作负载。, 如果您的工作负载对一致性能不敏感,,,,,,,,B,,"http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Storage.html Amazon RDS provisions that IOPS rate and storage for the lifetime of the DB instance or until you change it. Provisioned IOPS storage is optimized for I/O intensive, online transaction processing (OLTP) workloads that have consistent performance requirements. Provisioned IOPS helps performance tuning."
48,在可用于Amazon EBS卷的“详细”监控数据中，预配置IOPS卷会自动将_____分钟指标发送到Amazon CloudWatch。,3,1,五,2,,,,,,,B,,
49,在同一可用区中的Amazon RDS和Amazon EC2实例之间传输的数据的最低费用是多少？, 每GB 0.10美元, 免费。这是免费的。, 每GB 0.02美元, 每GB 0.01美元,,,,,,,B,,
50,预留实例是否可用于多可用区部署？, 仅适用于Cluster Compute实例, 对于所有实例类型都是, 仅适用于M3实例类型, 没有,,,,,,,B,,https://aws.amazon.com/rds/faqs/
51,哪些服务使AWS客户能够管理AWS中的用户和权限？, AWS访问控制服务（ACS）, AWS身份和访问管理（IAM）, AWS Identity Manager（AIM）,,,,,,,,B,,
52,哪些亚马逊存储的行为类似于可以附加到实例的原始，未格式化的外部块设备？, 都不是。, 亚马逊实例存储, 亚马逊EBS, 所有这些,,,,,,,C,,
53,我可以使用哪种亚马逊服务来定义与传统数据中心非常相似的虚拟网络？, 亚马逊VPC, 亚马逊ServiceBus, 亚马逊EMR, 亚马逊RDS,,,,,,,A,,
54,在Windows中运行远程桌面客户端的命令行指令是什么？, 的desk.cpl, MSTSC,,,,,,,,,B,,
55,目前仅支持______存储引擎的Amazon RDS自动备份和数据库快照, MyISAM数据, InnoDB的,,,,,,,,,B,,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_MySQL.html
56,MySQL安装默认为端口_____。,3306,443,80,1158,,,,,,,A,,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ConnectToInstance.html
57,如果您选择了多可用区部署，则在主数据库实例计划内或计划外中断的情况下，Amazon RDS会自动切换到备用副本。自动故障转移机制只是将主数据库实例的______记录更改为指向备用数据库实例。, DNAME, CNAME, 文本, MX,,,,,,,B,,"“When failing over, Amazon RDS simply flips the canonical name record (CNAME) for your DB Instance to point at the standby, which is in turn promoted to become the new primary” https://aws.amazon.com/rds/faqs/"
58,如果我修改数据库实例或与实例关联的数据库参数组，是否应该重新启动实例以使更改生效？, 没有, 是,,,,,,,,,B,,
59,如果我想在亚马逊实例中运行数据库，这是最推荐的亚马逊存储选项？, 亚马逊实例存储, 亚马逊EBS, 您无法在Amazon实例中运行数据库。, 亚马逊S3,,,,,,,B,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Storage.html
60,关于IAM，您可以稍后编辑用户属性，但不能使用控制台更改___________。, 用户名, 密码, 默认组,,,,,,,,A,,
61,我可以在升级之前针对新版本测试我的数据库实例吗？, 没有, 是, 仅限于VPC,,,,,,,,B,,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_UpgradeDBInstance.Upgrading.html
62,对错：如果在数据库实例上添加与现有标记具有相同密钥的标记，则新值将覆盖旧值。, 假, 真正,,,,,,,,,B,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Using_Tags.html
63,我可以在VPC中使用预配置IOPS吗？, 仅基于Oracle的RDS, 没有, 仅适用于基于MSSQL的RDS, 对于所有RDS实例都是,,,,,,,D,,
64,公开快照可以与所有人共享所有快照数据。 AWS Marketplace产品代码的快照是否可以公开？, 没有, 是,,,,,,,,,A,,"“Making your snapshot public shares all snapshot data with everyone; however, snapshots with AWS Marketplace product codes cannot be made public. Encrypted snapshots cannot be shared between accounts or made public.” http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-modifying-snapshot-permissions.html"
65,填写空白：“要确保故障转移功能，请考虑在网络接口上使用_____进行传输”。, 主要公共IP, 二级私人IP, 二级公共知识产权, 添加辅助IP,,,,,,,B,,"To ensure failover capabilities, consider using a secondary private IP for incoming traffic on an elastic network interface. In the event of an instance failure, you can move the interface and/or secondary private IP address to a standby instance"
66,如果我的主数据库实例有多个只读副本并且我推广其中一个，那么其余的只读副本会发生什么？, 其余的只读副本仍将从较旧的主数据库实例进行复制, 剩余的只读副本将被删除, 剩余的只读副本将合并为一个只读副本,,,,,,,,A,,"If a source DB instance has several Read Replicas, promoting one of the Read Replicas to a DB instance has no effect on the other replicas."
67,Amazon CloudFormation提供什么？, 能够为Amazon EC2实例设置自动缩放。, 都不是。, Amazon Web Services的模板化资源创建。, 用于映射Amazon Web Services的网络资源的模板。,,,,,,,C,,"https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/Welcome.html AWS CloudFormation is a service that helps you model and set up your Amazon Web Services resources so that you can spend less time managing those resources and more time focusing on your applications that run in AWS. You create a template that describes all the AWS resources that you want (like Amazon EC2 instances or Amazon RDS DB instances), and AWS CloudFormation takes care of provisioning and configuring those resources for you."
68,我可以使用SSL加密应用程序和数据库实例之间的连接吗？, 没有, 是, 仅限于VPC, 仅限于某些地区,,,,,,,B,,
69,AWS Premium支持的四个级别是什么？, 基础，开发人员，业务，企业, 基础，初创，商业，企业, 免费，青铜，银，金, 所有支持都是免费的,,,,,,,A,,"Q: How are the enhanced AWS Support tiers different from Basic Support? AWS Basic Support offers all AWS customers access to our Resource Center, Service Health Dashboard, Product FAQs, Discussion Forums, and Support for Health Checks – at no additional charge. Customers who desire a deeper level of support can subscribe to AWS Support at the Developer, Business, or Enterprise level. https://aws.amazon.com/premiumsupport/faqs/"
70,访问URL，我可以访问哪些内容：http：//status.aws.amazon.com/？, 亚马逊云观察, Amazon RDS DB的状态, AWS Service Health仪表板, AWS Cloud Monitor,,,,,,,C,,
71,请选择无法标记的Amazon EC2资源。, 图像（AMI，内核，RAM磁盘）, 亚马逊EBS卷, 弹性IP地址, 室性早搏,,,,,,,C,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Using_Tags.html#tag-restrictions
72,'Key'的字符串值可以带有前缀：aws：“？, 仅限GovCloud, 仅适用于S3而非EC2, 是, 没有,,,,,,,D,,“The tag key is the required name of the tag. The string value can be from 1 to 128 Unicode characters in length and cannot be prefixed with “aws:” or “rds:”.” http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Tagging.html
73,您的系统最近在故障排除过程中遇到了停机时间。您发现新管理员错误地终止了多个生产EC2实例。以下哪种策略有助于防止将来出现类似情况？管理员仍然必须： - 启动，启动停止和终止开发资源。 - 启动和启动生产实例。, 创建一个IAM用户，不允许通过利用生产EC2终止保护来终止实例。, 利用基于资源的标记以及IAM用户，这可以防止特定用户终止生产EC2资源。, 利用EC2终止保护和多因素身份验证，它们共同要求用户在终止EC2实例之前进行身份验证, 创建IAM用户并应用IAM角色，以防止用户终止生产EC2实例。,,,,,,,B,,http://blogs.aws.amazon.com/security/post/Tx29HCT3ABL7LP3/Resource-level-Permissions-for-EC2-Controlling- Management-Access-on-Specific-Ins
74,客户已建立与AWS的AWS Direct Connect连接。链接已启动，并且正在从客户端发布路由，但客户无法从其VPC内的EC2实例连接到驻留在其数据中心的服务器。以下哪个选项提供了可行的解决方案来解决这种情况？ （选择2个答案）, 使用iPsec VPN连接作为目标添加到路由表的路由。, 启用到虚拟pinnate网关（VGW）的路由传播。, 启用到客户网关（CGW）的路由传播。, 使用'route'命令修改所有实例的路由表。, 通过将路由添加回客户的本地环境来修改Instances VPC子网路由表。,,,,,,BE,,https://myawsscribble.wordpress.com/2015/09/25/setting-up-and-configuring-aws-directconnect/
75,选择不正确的语句, 在Amazon EC2中，私有IP地址仅在实例停止或终止时返回到Amazon EC2, 在Amazon VPC中，实例在实例停止时保留其私有IP地址。, 在Amazon VPC中，实例停止时，实例不会保留其专用IP地址。, 在Amazon EC2中，专用IP地址在其生命周期内仅与实例关联,,,,,,,C,,"A private IP address remains associated with the network interface when the instance is stopped and restarted, and is released when the instance is terminated."
76,如何在Amazon S3上保存EBS快照？, 成倍, 增量, EBS快照不存储在Amazon S3中, 递减,,,,,,,B,,
77,什么类型的监控数据（适用于Amazon EBS卷）可以在5分钟内自动免费调用？, 基本, 主, 详细, 本地,,,,,,,A,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/monitoring-volume-status.html
78,提升只读副本时创建的新数据库实例会保留备份窗口期。, 真正, 假,,,,,,,,,A,,"“The new DB instance that is created when you promote a Read Replica retains the backup retention period, backup window period, and parameter group of the former Read Replica source.” http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html"
79,在Amazon SNS上创建主题时会发生什么？, 该主题已创建，并具有您为其指定的名称。, 创建ARN（亚马逊资源名称）。, 您可以在Amazon SQS上创建主题，而不是在Amazon SNS上创建主题。, 这个问题没有意义。,,,,,,,B,,
80,我可以删除已注册AMI使用的EBS卷的根设备的快照吗？, 只能通过API, 只能通过控制台, 是, 没有,,,,,,,D,,Note that you can’t delete a snapshot of the root device of an EBS volume used by a registered AMI. You must first deregister the AMI before you can delete the snapshot. http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-deleting-snapshot.html
81,我可以在升级之前针对新版本测试我的数据库实例吗？, 仅限于VPC, 没有, 是,,,,,,,,C,,
82,业务级高级支持案例的最长响应时间是多少？, 120秒, 1小时, 10分钟, 12小时,,,,,,,B,,https://aws.amazon.com/premiumsupport/features/
83,_____服务面向拥有多个用户或系统的组织，这些用户或系统使用AWS产品，如Amazon EC2，Amazon SimpleDB和AWS管理控制台。, 亚马逊RDS, AWS完整性管理, AWS身份和访问管理, 亚马逊EMR,,,,,,,C,,https://aws.amazon.com/documentation/iam/?nc1=h_ls
84,对错：如果没有IAM，您无法控制特定用户或系统可以执行的任务以及他们可能使用的AWS资源。, 假, 真正,,,,,,,,,B,,http://docs.aws.amazon.com/IAM/latest/UserGuide/getting-setup.html
85,使用AWS管理控制台删除IAM用户时，IAM还会删除任何签名证书以及属于该用户的任何访问密钥。, 假, 这是可配置的, 真正,,,,,,,,C,,Note Any managed policies attached to the user are detached from the user when the user is deleted. Managed policies are not deleted when you delete a user. Any associated MFA device http://docs.aws.amazon.com/IAM/latest/UserGuide/id_users_manage.html#id_users_deleting_console
86,发生自动故障转移时，Amazon RDS将发出数据库实例事件，通知您发生了自动故障转移。您可以使用_____返回与数据库实例相关的事件的相关信息, FetchFailure, DescriveFailure, DescribeEvents, FetchEvents,,,,,,,C,,"Q: Will I be alerted when automatic failover occurs? Yes, Amazon RDS will emit a DB Instance event to inform you that automatic failover occurred. You can use the DescribeEvents to return information about events related to your DB Instance, or click the “DB Events” section of the AWS Management Console https://aws.amazon.com/rds/faqs/"
87,每个AWS账户使用的默认最大MFA设备数（在root帐户级别）是多少？,1,五,15,10,,,,,,,A,,http://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-limits.html
88,Amazon EBS卷是否独立于Amazon EC2实例的运行寿命？, 仅在创建时指示, 是, 没有,,,,,,,,B,,Data persistence An EBS volume is off-instance storage that can persist independently from the life of an instance. You continue to pay for the volume usage as long as the data persists. http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSVolumes.html#EBSFeatures
89,我们可以同时将EBS卷附加到多个EC2实例吗？, 是。, 没有, 仅EC2优化的EBS卷。, 仅在读取模式下。,,,,,,,B,,EBS is network attached storage that can only be attached to one instance at a time https://aws.amazon.com/ebs/getting-started/
90,选择正确的选项集。这些是默认安全组的初始设置：, 不允许入站流量，允许所有出站流量和允许与此安全组关联的实例相互通信, 允许所有入站流量，不允许出站流量和允许与此安全组关联的实例相互通信, 不允许入站流量，允许所有出站流量，并且不允许与此安全组关联的实例相互通信, 允许所有入站流量，允许所有出站流量，并且不允许与此安全组关联的实例相互通信,,,,,,,A,,"http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-network-security.html#default-security-group A default security group is named default, and it has an ID assigned by AWS. The following are the initial settings for each default security group: Allow inbound traffic only from other instances associated with the default security group Allow all outbound traffic from the instance The default security group specifies itself as a source security group in its inbound rules. This is what allows instances associated with the default security group to communicate with other instances associated with the default security group."
91,亚马逊Route 53提供什么？, 全球内容交付网络。, 都不是。, 可扩展的域名系统。, Amazon EC2的SSH端点。,,,,,,,C,,https://aws.amazon.com/route53/
92,Amazon ElastiCache提供什么？, 此名称的服务不存在。也许您的意思是Amazon CloudCache。, 具有大量内存的虚拟服务器。, 托管的内存缓存服务。, 已预安装Memcached软件的Amazon EC2实例。,,,,,,,C,,
93,亚马逊帐户默认有多少弹性IP？, 1弹性IP, 3弹性IP, 5弹性IP, 0弹性IP,,,,,,,C,,"“By default, all AWS accounts are limited to 5 Elastic IP addresses, because public (IPv4) Internet addresses are a scarce public resource.” http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/elastic-ip-addresses-eip.html"
94,什么是安全组？, 都不是。, 可以访问Amazon EC2实例的用户列表。, AWS资源的访问控制列表（ACL）。, 针对入站流量的防火墙，内置于每个Amazon EC2实例周围。,,,,,,,D,,A security group acts as a virtual firewall for your instance to control inbound and outbound traffic. http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC_SecurityGroups.html
95,如果取消预订，预留实例的一次性付款将__________可退款。, 总是, 在某些情况下, 决不,,,,,,,,C,,the one-time fee is non-refundable. https://aws.amazon.com/ec2/purchasing-options/reserved-instances/buyer/
96,请选择可以标记的Amazon EC2资源。, 密钥对, 弹性IP地址, 安置小组, Amazon EBS快照,,,,,,,D,,Placement group and Elastic IP cannot be tagged. http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Using_Tags.html Snapshots can be tagged: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Using_Tags.html
